Advertiser_ID,Advertiser_Name,total_spend,total_creatives,ca_ad_count,avg_ad_spend,avg_impressions,avg_cpi,avg_ad_duration,pct_video,pct_text,pct_image,avg_geo_targets,pct_age_targeted,pct_gender_targeted,avg_pct_target_young,avg_pct_target_middle,avg_pct_target_older,pct_female_only,pct_male_only,avg_ca_districts,has_district_targeting,weeks_active,spend_consistency,max_weekly_spend,pct_spend_in_peak_week,num_states,pct_spend_ca,geo_hhi,cluster_label,archetype,pca_x,pca_y,spend_per_creative
AR04325486852569038849,"Sacramento Valley for Eric Guerra, Assembly District 10 2022",3000,1,1,2750.0,32500.0,0.08461538461538462,11.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.044030650891055,2200,0.7333333333333333,51.0,0.9375,0.880859375,1,Hyper-Local Grassroots,2.575528416251453,-2.4267097670182336,3000.0
AR13241058305809317889,PIVOT - THE PROGRESSIVE VIETNAMESE AMERICAN ORGANIZATION,172600,854,216,231.94444444444446,119458.33333333333,0.016423355376356755,11.185185185185185,0.3611111111111111,0.0,0.6388888888888888,11.546296296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22685185185185186,0.22685185185185186,40,1.3361564928317142,23800,0.13725490196078433,54.0,0.25156516789982925,0.16656975642433916,1,Hyper-Local Grassroots,1.5562507483609438,2.3422874983190693,799.074074074074
AR04891253119125553153,VILLARAIGOSA FOR GOVERNOR 2026,2800,3,3,1016.6666666666666,85833.33333333333,0.05261538461538462,41.0,0.3333333333333333,0.6666666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.47110980083675236,300,0.1,52.0,0.34615384615384615,0.12820512820512822,1,Hyper-Local Grassroots,2.3697605464335982,0.5672518638186232,933.3333333333334
AR00235918121163030529,Santiago for Assembly 2024,10800,5,5,2280.0,154000.0,0.015058823529411767,6.2,1.0,0.0,0.0,30.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3,0.5299662230094142,5400,0.5,28.0,0.8,0.6414814814814815,0,Targeted Persuader,-3.0210835327142895,-1.1781764961069021,2160.0
AR02674194316645105665,CONCERNED CITIZENS OPPOSING LARRY MCCOLLOCH FOR CITY COUNCIL DISTRIC,500,3,3,183.33333333333334,1500.0,0.12222222222222223,33.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,100,0.16666666666666666,35.0,0.5555555555555556,0.3580246913580247,1,Hyper-Local Grassroots,2.9723995040309132,-0.5557459888260335,166.66666666666666
AR01191617046819897345,CAMPAIGN FOR A SAFE AND HEALTHY CALIFORNIA,199000,5,5,40900.0,3945000.0,0.011858775899023576,7.2,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,3,0.3805221426977752,90700,0.4557788944723618,2.0,0.9994977398292315,0.9989959841890212,0,Targeted Persuader,-3.2000847394221394,-1.9147889994459228,39800.0
AR06809918037924249601,A BETTER CONCORD,100,17,17,50.0,2558.823529411765,0.06422228751640517,7.411764705882353,0.0,0.0,1.0,18.0,0.058823529411764705,0.0,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,2,0.0,100,0.5,31.0,1.0,1.0,1,Hyper-Local Grassroots,1.8832370422942475,-1.4429252619558115,5.882352941176471
AR14369193674410033153,AGRI PULSE COMMUNICATIONS INC,3400,43,1,450.0,6500.0,0.06923076923076923,349.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,0.24253562503633294,200,0.028985507246376812,56.0,0.07936507936507936,0.023431594860166282,1,Hyper-Local Grassroots,3.796860287160195,1.8090021872389586,3400.0
AR08944624261297864705,NEO Philanthropy Inc,2800,10,4,350.0,19125.0,0.07916666666666666,9.0,0.25,0.75,0.0,6.0,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,10,0.6692128248835807,700,0.25,51.0,0.2558139534883721,0.09897241752298538,1,Hyper-Local Grassroots,1.4683346996686004,0.5766387306857834,700.0
AR12624677790994661377,ANGELIQUE ASHBY FOR SENATE 2022,8000,10,10,770.0,60050.0,0.028925431431313785,11.2,1.0,0.0,0.0,54.0,0.2,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,4,0.9941495528004494,4300,0.5375,51.0,0.6106870229007634,0.37591049472641436,1,Hyper-Local Grassroots,0.22272169765779862,-0.46922905917555713,800.0
AR01960542550741745665,PROTECT PASADENA'S LIBRARIES 2022 MEASURE A SUPPORT,100,1,1,50.0,12500.0,0.004,50.0,1.0,0.0,0.0,3.0,1.0,1.0,0.2,0.4,0.4,0.0,0.0,0.0,0.0,8,0.0,100,0.125,1.0,1.0,1.0,0,Targeted Persuader,-2.7871918312792583,-1.909059624187708,100.0
AR10025488171866783745,CALIFORNIANS TO RECALL GAVIN NEWSOM,1100,2,2,550.0,98750.0,0.0058235294117647066,106.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,100,0.058823529411764705,52.0,0.16129032258064516,0.03954214360041622,1,Hyper-Local Grassroots,3.081976279468335,1.039172862920495,550.0
